TODO.json status:
  Total items: 3116
  Finished:    213
  Remaining:   2903
  Progress:    6.8%
  江西省                    25/112  (22%)
  安徽省                     0/121  (0%)
  北京市                     0/16   (0%)
  重庆市                     0/38   (0%)
  福建省                     0/93   (0%)
  甘肃省                     0/101  (0%)
  广东省                     0/144  (0%)
  广西壮族自治区                 0/126  (0%)
  贵州省                     0/97   (0%)
  海南省                     0/16   (0%)
  河北省                    12/179  (7%)
  黑龙江省                    0/135  (0%)
  河南省                     0/175  (0%)
  湖北省                     0/113  (0%)
  湖南省                    67/137  (49%)
  内蒙古自治区                  0/63   (0%)
  江苏省                   109/109  (100%)
  吉林省                     0/70   (0%)
  辽宁省                     0/115  (0%)
  宁夏回族自治区                 0/28   (0%)
  青海省                     0/53   (0%)
  陕西省                     0/118  (0%)
  山东省                     0/153  (0%)
  上海市                     0/16   (0%)
  山西省                     0/129  (0%)
  四川省                     0/205  (0%)
  天津市                     0/16   (0%)
  新疆维吾尔自治区                0/108  (0%)
  西藏自治区                   0/82   (0%)
  云南省                     0/146  (0%)
  浙江省                     0/102  (0%)
